"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","0.1W","ARROW PART NUMBER","ARROW PRICE/STOCK","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET LINK","DIMS","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NETNAME","PARAMETER 1","RS PART NUMBER","RS PRICE/STOCK","SYSTEM","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"PEC12R-4220F-S0024","PEC12R4220FS0024","PEC12R4220FS0024_w_ang","","","","","PEC12R-4220F-S0024","https://www.arrow.com/en/products/pec12r-4220f-s0024/bourns","*","","","https://componentsearchengine.com/Datasheets/5/PEC12R-4220F-S0024.pdf","","20mm","Bourns","PEC12R-4220F-S0024","652-PEC12R-4220F-S24","https://www.mouser.co.uk/ProductDetail/Bourns/PEC12R-4220F-S0024?qs=Zq5ylnUbLm7u%2FuPQvUoR4Q%3D%3D","","","","","","","","*","IC?","Bourns Inc. Encoder"
"PESD2CAN","SOT96P237X111-3N","","","","","","PESD2CAN,215","https://www.arrow.com/en/products/pesd2can215/nexperia?region=nac","*","","","http://de.rs-online.com/webdocs/0b4d/0900766b80b4dbb6.pdf","","1.1mm","Nexperia","PESD2CAN,215","771-PESD2CAN-T/R","https://www.mouser.co.uk/ProductDetail/Nexperia/PESD2CAN215?qs=LOCUfHb8d9sqg7TaLUP2JQ%3D%3D","","","","","","","","*","D?","PESD2CAN
CAN bus ESD protection diode"
"R0603","R_0603","","","","","*","","","=Value","","","","","","","","","","","","","","","0R","","*","R?","Resistor"
"R1210","R_1210(3532)","","","","","*","","","=Value","","","","","","","","","","","","","","","0R","","*","R?","Resistor"
"REF193GSZ","SOIC127P600X175-8N","","","","","","","","*","","","","","","","","","","","","","","","","","*","IC?","Voltage Reference, 3.0V to 4.5V, Analog Devices"
"Radiator","Radiator-40x20x40","","","","","","","","Radiator","","","","","","","","","","","","","","","","","*","*",""
"Resistor","R_0603","","","","","*","","","=Value","","","","","","","","","","","","","","","*","","*","R?","Resistor"
"SB_1","SB_1(E)","SB_1(CO)","SB_1(>>)","NetTie","","","","","*","","","","","","","","","","","","","","","","","*","SB?",""
"SI2312BDS-T1-BE3","SOT95P237X112-3N","","","","","","SI2312BDS-T1-BE3","https://www.arrow.com/en/products/si2312bds-t1-be3/vishay?region=nac","*","","","https://www.mouser.in/datasheet/2/427/VISH_S_A0010924773_1-2571514.pdf","","1.12mm","Vishay","SI2312BDS-T1-BE3","78-SI2312BDS-T1-BE3","https://www.mouser.co.uk/ProductDetail/Vishay-Siliconix/SI2312BDS-T1-BE3?qs=CiayqK2gdcLWl7ngxjbeYA%3D%3D","","","","","","","","*","Q?","MOSFET (N-Channel)"
"SN65HVD230DRG4","SOIC127P600X175-8N","","","","","","SN65HVD230DRG4","https://www.arrow.com/en/products/sn65hvd230drg4/texas-instruments","*","","","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn65hvd230","","1.75mm","Texas Instruments","SN65HVD230DRG4","595-SN65HVD230DRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN65HVD230DRG4/?qs=QViXGNcIEAvg9uZlAursSA%3D%3D","","","","","","","","*","IC?","3.3 V CAN Transceiver with Standby Mode 8-SOIC -40 to 85"
